CONTRACT_ID;CLIENT_ID;TERM;CONTRACT_SUM;GENDER;AGE;LOAN_TO_INCOME;PAYMENT_TO_INCOME;DOWNPAYMENT;CAR_CATEGORY;GRACE_PERIOD;RATE_CHANGE_AFTER_GRACE
18023574;255394;84;1814.54;M;51;16;0.31;0.60;3;12;15
18024063;255405;18;519.95;F;53;6;0.34;0.80;2;18;15
18028044;255431;84;1323.01;M;30;2;0.05;0.60;3;12;15
18036861;255461;12;818.55;F;34;5;0.45;0.60;2;12;15
18038381;255466;60;844.56;M;29;11;0.25;0.50;2;6;13
18060399;255531;48;1500.17;M;57;12;0.31;0.20;2;0;0
18065296;255568;18;361.46;M;56;3;0.19;0.70;1;18;15
18066005;255572;12;1519.29;F;33;5;0.41;0.60;3;12;15
18076676;255609;18;569.16;M;38;6;0.34;0.70;2;18;15
18079081;255619;60;533.21;M;39;9;0.2;0.70;1;6;14
18080520;255636;48;992.21;F;50;9;0.23;0.50;2;0;0
18087995;112886;84;1770.21;F;39;14;0.27;0.30;2;0;0
18088562;255665;84;984.66;M;36;8;0.15;0.70;3;12;15
18089303;255673;84;984.47;F;33;9;0.18;0.70;2;12;15
18089806;255680;84;1603.67;F;31;15;0.29;0.30;2;0;0
18093351;255690;48;667.85;M;47;9;0.23;0.50;1;0;0
18096537;255699;84;1530;M;29;18;0.34;0.40;2;0;0
18101161;255733;12;1086.3;M;37;7;0.59;0.50;2;12;15
18101678;255736;84;1732.88;M;42;17;0.32;0.50;3;0;0
18104875;255747;84;1508.31;F;45;16;0.32;0.50;3;0;0
18105543;255757;84;831.71;F;47;11;0.22;0.60;2;12;15
18112504;255770;18;459;M;42;6;0.33;0.80;2;18;15
18116414;255787;84;2030.31;F;40;16;0.31;0.20;2;12;1
18116969;255801;60;703.04;F;54;11;0.25;0.50;1;6;14
18124482;255835;84;1239.84;M;54;8;0.16;0.60;3;0;0
18124755;255842;12;1660.54;M;55;2;0.21;0.60;3;12;15
18129964;255850;18;762.07;F;51;3;0.18;0.80;3;18;15
18130215;255852;18;322.07;M;35;4;0.24;0.80;2;18;15
18144305;255876;84;1900.15;F;27;15;0.28;0.10;2;0;0
18146036;255891;84;4513.5;M;28;6;0.11;0.50;5;12;1
18146307;255896;84;1460.16;F;34;18;0.34;0.20;2;0;0
18146522;255900;84;1310.86;M;37;10;0.19;0.60;3;12;15
18158382;255937;84;3969.77;M;37;29;0.56;0.10;3;0;0
18160997;255941;18;711.64;M;49;9;0.52;0.80;2;18;15
18172775;255985;84;612;M;61;4;0.08;0.70;2;12;15
18176135;256003;60;866.75;F;52;15;0.36;0.50;2;6;14
18176195;256006;48;1019.75;M;46;9;0.23;0.40;2;0;0
18188257;256040;48;930.24;M;37;10;0.26;0.50;2;0;0
18197928;256066;84;1398.35;M;40;14;0.27;0.60;3;0;0
18198196;256068;18;528.54;M;59;3;0.19;0.70;2;18;15
18198241;256070;60;1272.96;F;58;16;0.38;0.10;1;6;14
18198254;256071;84;765;F;34;9;0.18;0.60;2;12;15
18201573;256099;84;1984.1;M;47;9;0.17;0.20;2;12;6
18215794;256137;18;324.59;M;62;5;0.28;0.70;1;18;15
18216069;256142;84;2301.81;M;36;10;0.19;0.20;2;0;0
18226596;256182;48;617.74;F;35;7;0.17;0.60;2;0;0
18226763;256185;18;583.7;M;37;3;0.14;0.70;2;18;15
18227420;256193;84;1257.93;F;36;7;0.15;0.60;3;12;15
18227846;256194;84;2170.46;M;35;22;0.42;0.30;3;0;0
18230178;256202;84;1137.48;M;36;11;0.21;0.60;2;12;15
18231122;256203;84;1277.55;M;42;17;0.33;0.50;2;12;8
18238357;256225;84;2186.88;M;34;5;0.1;0.10;2;0;0
18255230;256279;84;1336.43;F;49;16;0.31;0.50;2;0;0
18272478;253490;12;771.89;F;61;6;0.51;0.50;2;12;15
18283819;256364;84;1300.5;M;26;15;0.31;0.20;2;12;6
18290917;256386;84;1394.6;M;31;1;0.02;0.50;2;0;0
18326604;256455;84;1897.05;M;60;16;0.31;0.30;2;0;0
18330963;256486;60;911.88;M;41;4;0.09;0.50;2;6;14
18336002;256494;17;616.97;M;34;5;0.3;0.70;2;17;15
18342794;256520;84;1071;F;27;14;0.27;0.70;3;0;0
18343157;256526;84;1866.6;M;30;12;0.23;0.10;2;0;0
